类型|留言标题|留言内容|留言时间|答复内容|答复部门|答复时间|主题分类|行政区域
建议|建议调整613路至金庄，保福寺后走609路线，或609路延长末班至23点10分因为中关村东路、皂君庙路没有夜班线路|由于中关村东路、皂君庙路没有夜班线路，建议延长609路末班至23点10分，或者调整613路至金庄，北京城市学院后走609路线（原660路四环至学院南路走向）去金庄，609路恢复知春路、苏州街、西三环一线行驶。|2021-11-10|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：经查，609路21:30分以后客流不高，满载率不足10%，公交线路运营时间的调整，需要具备相应客流需求的支撑，现有的营业时间是能够满足市民出行需求的，因此目前暂不进行调整。另外，公交运营线路调整既要符合线网规划，又要符合大多数乘客出行需求，还要有相关政策和配套的场站设施支持，并得到市相关部门的审批。我们将认真汇总、梳理、研究您的建议，将您的建议纳入公交集团线网优化方案中。同时我们也会根据城市公交线网的整体规划，逐步增开和调整公交线路，以方便百姓出行。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2021-11-15|公共交通线路|NaN
建议|建议停驶30路|30路目前客流情况惨淡，日均客流据悉3000人次左右，除此之外985路日客流据悉8100人次左右，虽有部分走向重合，但客流量悬殊极大，且30路现在间隔也非常大，除此之外30路车型续航较差，冬天车上冷，夏天车上热，给乘客造成不好的乘车体验，但是985路配车却截然相反，公交车本来是服务乘客的，而不是乘客遭罪的，希望985路和30路合并为一条线，以及985能够一如既往保持现有的好间隔和优质的服务。30路撤销后，保留985线路现有配置和走向，撤销30路，减少能源开支消耗，按照集团削重复，增效益及双减规则，建议撤销低效重复线路30路，30路撤销后，985可适时调整运营策略，同时调整985路双向首末班时间为：5:20–23:00，谢谢|2021-11-08|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：经核实，985路牌坊村东口站营业时间为：5:10-21:10分，甜水园西里站营业时间为：6:30-22:30分。车队调取牌坊村东口站首末班车客流显示：首班车平均满载率约为18.00%，末班车平均满载率约为8.00%；车队调取甜水园西里站首末班车客流显示：首班车平均满载率约为22.00%，末班车平均满载率约为19.00%，符合满载标准，目前线路营业时间可以满足大部分乘客乘车需求。另外，公交运营线路调整既要符合线网规划，又要符合大多数乘客出行需求，还要有相关政策和配套的场站设施支持，并得到市相关部门的审批。我们将认真汇总、梳理、研究您的建议，将您的建议纳入公交集团线网优化方案中。同时我们也会根据城市公交线网的整体规划，逐步增开和调整公交线路，以方便百姓出行。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2021-11-11|公共交通线路|NaN
建议|建议调整609路、613路|调整609路，改回知春路、苏州街、西三环一线行驶，609路往北末班早，无法替代紫竹院路前往中关村南大街、学院南路、中关村东路需求增设：紫竹桥北、万寿寺、为公桥、苏州桥南、万泉庄、人民大学西门、海淀南路、海淀黄庄西（西三旗→金庄方向）、海淀黄庄东（金庄→西三旗方向）、知春里、知春里东站（西三旗→金庄方向）撤销：紫竹院南门、白石桥西（单向）、白石桥北（单向）、国家图书馆、中央民族大学、魏公村、中国农业科学院南门、皂君庙西站、皂君东里、联想桥南、白塔庵南、白塔庵。609路撤出路段由613路、129路、86路替代调整613路，改回660路四环至中关村东路、学院南路走向，并延长至金庄，这样弥补地铁5号线天通苑北方向末班，惠新西街北口出地铁时候，去望和桥、望京桥无车，而且北四环、望和桥、望京桥没有夜班线路。首末站：来广营西桥东——金庄运营时间：来广营西桥东5:30-22:30金庄5:30-23:10增设：保福寺桥南、白塔庵北、白塔庵、白塔庵南、联想桥南、皂君东里、皂君庙西站、中国农业科学院南门、魏公村、中央民族大学、国家图书馆、白石桥北（金庄→来广营西桥东）、白石桥西（来广营西桥东→金庄）、紫竹院南门、北洼路、车道沟桥东、正福寺、五福路北口、彰化路、金庄撤销：保福寺桥西、中关村一街、中关村东（单向）、中关村西、北京市地震局、海淀南路西口、巴沟村|2021-11-08|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：经核实，609路自开线以来，有稳定的客流群体，给周边市民出行提供方便，如线路调整，会增加市民换乘次数，造成更多市民不便，且公交运营线路调整既要符合线网规划，又要符合大多数乘客出行需求，还要有相关政策和配套的场站设施支持，并得到市相关部门的审批。我们将认真汇总、梳理、研究您的建议，将您的建议纳入公交集团线网优化方案中。同时我们也会根据城市公交线网的整体规划，逐步增开和调整公交线路，以方便百姓出行。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2021-11-10|公共交通线路|NaN
建议|建议830路切线|建议830路截线到地铁园博园站，进驻园博园场站，方便乘客出行、车辆周转。|2021-11-07|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：经查，830路地铁张郭庄站至菜户营桥西站仍有乘客出行需求，若调整线路，会造成现有乘客出行不便，增加乘客的换乘次数，且公交运营线路调整既要符合线网规划，又要符合大多数乘客出行需求，还要有相关政策和配套的场站设施支持，并得到市相关部门的审批。我们将认真汇总、梳理、研究您的建议，将您的建议纳入公交集团线网优化方案中。同时我们也会根据城市公交线网的整体规划，逐步增开和调整公交线路，以方便百姓出行。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2021-11-09|公共交通线路|NaN
建议|建议调整481路，与609路中段整合，万寿寺路新开线路|调整481路，由于蓝靛厂南路客流较低，特此单向改走北洼路并延长至蓟门桥圈点，弥补609路撤出后，中关村南大街、学院南路、皂君庙路的走向首末站，吴庄公交场站——大钟寺运营时间：吴庄公交场站5:30-22:10大钟寺6:30-23:10大钟寺方向增设：七贤村路口北、北洼西里、北洼路北口、紫竹院南门、白石桥北、国家图书馆、中央民族大学、魏公村、中国农业科学院南门、皂君庙西站、皂君东里、联想桥南、大钟寺吴庄公交场站方向增设：大钟寺、联想桥南、皂君东里、皂君庙西站、中国农业科学院南门、魏公村、中央民族大学撤销：慈寿寺桥（单向）、五路（单向）、善家坟（单向）、车道沟桥东（单向）、北洼路（单向）、紫竹桥北（单向）、紫竹院北门同时调整609路增设：紫竹桥北、万寿寺、为公桥、苏州桥南、万泉庄、人民大学西门、海淀南路、海淀黄庄西（西三旗→金庄方向）、海淀黄庄东（金庄→西三旗方向）、知春里、知春里东站（西三旗→金庄方向）撤销：紫竹院南门、白石桥西（单向）、白石桥北（单向）、国家图书馆、中央民族大学、魏公村、中国农业科学院南门、皂君庙西站、皂君东里、联想桥南、白塔庵南、白塔庵。609路撤出路段由481路、129路、86路替代|2021-11-07|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：经核实，609路自开线以来，有稳定的客流群体，给周边市民出行提供方便，如线路调整，会增加市民换乘次数，造成更多市民不便，且公交运营线路调整既要符合线网规划，又要符合大多数乘客出行需求，还要有相关政策和配套的场站设施支持，并得到市相关部门的审批。我们将认真汇总、梳理、研究您的建议，将您的建议纳入公交集团线网优化方案中。同时我们也会根据城市公交线网的整体规划，逐步增开和调整公交线路，以方便百姓出行。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2021-11-10|公共交通线路|NaN
建议|建议北京公交集团以星期为单位给监票员配一点零钱|目前北京公交集团所有准无人售票车的监票员都不找钱，虽然如今现金购票乘客很少，但难免遇到忘记带卡、卡里没钱、或者用不来APP的老人，而需要找钱时监票员又无法找零，无法展现北京公交“一路同行，一心为您”的理念。因此建议公交集团以周为单位，每周监票员找车队领取10元-20元零钱，以便方便乘客。希望公交集团认真进行研究，谢谢。|2021-11-04|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：经核实，目前公交集团公司所属运营线路大多实行无人售票和准无人售票的运行方式，乘客可使用IC卡（银行卡或北京公交APP二维码）乘车，享受5折优惠政策（学生卡享受2.5折优惠政策），无卡乘客主动投币，不设找赎。如果乘客选择现金购票或投币，均没有折扣优惠，所以目前乘客选择现金付费的情况较少。乘客的建议目前无法采纳，请谅解。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2021-11-05|票价|NaN
建议|建议调整927路|建议927路双向延长，由亦庄桥北(亦庄北路东口)延长至地铁旧宫站。由南刘庄延长至凤河营，增设:后甫、采育路口、东半壁店村、倪家村、凤河营。|2021-11-04|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：经核实，927路末站调整至旧宫北路东口是根据市交通主管部门的工作要求，保留主要客流断面并引入公交场站，提升运营效率，改善运营秩序。若线路调整至地铁旧宫站，此路段中间设有隔离带，不具备公交车调头条件，乘客可在旧宫北路东口同站换乘997路、599路、324路到达地铁旧宫站。另外，乘客建议927路延长至凤河营，由于927路南刘庄位于张采路，乘客所述的凤河营位于大兴区采廊路，此路段不在927路的路由上，因此您的建议暂时无法采纳，乘客可在南刘庄站乘坐郊90路直接到达凤河营。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2021-11-05|公共交通线路|NaN
建议|建议36路公交车增设站|领导您好，36路开往华威路南口方向，在光明桥东长期没有站导致无法换成29路，52路，63路，91路，638路等公交车，建议36路公交车开往华威路南口方向增设光明楼东站，方便换乘其他公交，谢谢！|2021-11-04|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：经核实，乘客所述的光明桥东站距离36路现有广和东街站仅233米，站距过近，不符合《北京公交地面线网总体规划》中对于站距的要求，因此您的建议暂时无法采纳，但将作为今后我们工作的参考。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2021-11-05|站点|NaN
建议|建议北京公交110路工体路口南北线网架设|目前新式电车线网交叉器非常简洁，所谓“视觉污染”荒谬至极。而工体路口110南北线网架设只需要增加一个交叉器，非常简单。因此建议恢复架设。否则110路全程升降杆次数太多，浪费时间。周转效率时间与所谓“视觉污染”相比，哪个更重要想必很清楚了。|2021-11-03|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：为配合市容的整治提升，我们也在研制新的交叉器，在平安里路口我们已经实验装了新一代的交叉器，经过一段时间的实验发现还需要改进。近期我们又研制了更新一代的交叉器已经在宽街路口安装，待新式交叉器实验成功后，会尽量恢复路口直行线网。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2021-11-05|公共交通线路|NaN
建议|建议架设6路龙潭公园---法华寺电车线网|6路龙潭公园---法华寺没有电车线网，而此路段开阔适合架设，建议架设以便减少脱线里程。、另外，6路天桥这个路口一直没有东西线网，搞得在路口西侧升杆影响交通，直路线网又不碍事，建议增设。望考虑，谢谢。|2021-11-02|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：经核实，从2017年电车发展三期的方案至今政府还未批复，目前再想增加建设线网政策上还没有给我们有力的支持。另外，此路段还有铁路下洼桥，桥体高度不够架设线网，铁路更不允许有电车线网在桥下架设，因此6路目前还无法增设线网。天桥路口目前涉及北京市南中轴路申遗，我们也会努力争取连接东西向线网。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2021-11-05|公共交通运营|NaN
